 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6656] [2591377479 0ms] inbound/mixed[mixed-in]: inbound connection to www.bing.com:443
INFO[6656] [2591377479 1ms] outbound/shadowsocks[proxy]: outbound connection to www.bing.com:443
INFO[6656] [2198349673 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39190
INFO[6656] [2198349673 0ms] inbound/mixed[mixed-in]: inbound connection to r.bing.com:443
INFO[6656] [2198349673 2ms] outbound/shadowsocks[proxy]: outbound connection to r.bing.com:443
INFO[6656] [2673031592 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39202
INFO[6656] [2673031592 0ms] inbound/mixed[mixed-in]: inbound connection to www.bing.com:443
INFO[6656] [2673031592 1ms] outbound/shadowsocks[proxy]: outbound connection to www.bing.com:443
INFO[6656] [2553187414 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39204
INFO[6656] [2553187414 0ms] inbound/mixed[mixed-in]: inbound connection to www.bing.com:443
INFO[6656] [2553187414 1ms] outbound/shadowsocks[proxy]: outbound connection to www.bing.com:443
INFO[6656] [1768129802 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39208
INFO[6656] [1768129802 0ms] inbound/mixed[mixed-in]: inbound connection to www.bing.com:443
INFO[6656] [1768129802 1ms] outbound/shadowsocks[proxy]: outbound connection to www.bing.com:443
INFO[6656] [1545278078 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39218
INFO[6656] [1545278078 0ms] inbound/mixed[mixed-in]: inbound connection to www.bing.com:443
INFO[6656] [1545278078 2ms] outbound/shadowsocks[proxy]: outbound connection to www.bing.com:443
INFO[6656] [1918579579 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39226
INFO[6656] [1918579579 0ms] inbound/mixed[mixed-in]: inbound connection to www.bing.com:443
INFO[6656] [1918579579 2ms] outbound/shadowsocks[proxy]: outbound connection to www.bing.com:443
INFO[6656] [691462626 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39228
INFO[6656] [691462626 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6656] [1108134883 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39236
INFO[6656] [691462626 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6656] [1108134883 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6656] [1108134883 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6656] [1155386989 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39250
INFO[6656] [1155386989 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6656] [1155386989 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6656] [66232451 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39260
INFO[6656] [66232451 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6656] [66232451 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6656] [1579958899 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39268
INFO[6656] [1579958899 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6656] [1579958899 0ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6659] [981050568 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39276
INFO[6659] [981050568 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6659] [981050568 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6659] [566967675 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:39288
INFO[6659] [566967675 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[6659] [566967675 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[6665] [1793166460 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:59792
INFO[6665] [1793166460 0ms] inbound/mixed[mixed-in]: inbound connection to api.bilibili.com:443
INFO[6665] [1793166460 4ms] outbound/direct[bypass]: outbound connection to api.bilibili.com:443
INFO[6668] [2827794694 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:59794
INFO[6668] [2827794694 0ms] inbound/mixed[mixed-in]: inbound connection to sync-1-us-west1-g.sync.services.mozilla.com:443
INFO[6668] [2827794694 2ms] outbound/shadowsocks[proxy]: outbound connection to sync-1-us-west1-g.sync.services.mozilla.com:443
INFO[6683] [1857634437 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:40166
INFO[6683] [1857634437 0ms] inbound/mixed[mixed-in]: inbound connection to dl.acm.org:443
INFO[6683] [1857634437 4ms] outbound/shadowsocks[proxy]: outbound connection to dl.acm.org:443
INFO[6693] [732572235 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:35266
INFO[6693] [732572235 0ms] inbound/mixed[mixed-in]: inbound connection to docs.qq.com:443
INFO[6693] [732572235 3ms] outbound/direct[bypass]: outbound connection to docs.qq.com:443
INFO[6696] [1478941520 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:58258
INFO[6696] [1478941520 0ms] inbound/mixed[mixed-in]: inbound connection to report.idqqimg.com:443
INFO[6696] [1478941520 5ms] outbound/direct[bypass]: outbound connection to report.idqqimg.com:443
2024/05/09 13:26:26 [Info] sing-box closed in 0 ms
ERROR[6697] [732572235 3.66s] inbound/mixed[mixed-in]: process connection from 127.0.0.1:35266: lookup docs.qq.com: operation was canceled
INFO[6698] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[6698] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[6698] outbound/direct[direct]: outbound packet connection to 10.10.0.21:53
INFO[6698] outbound/direct[direct]: outbound packet connection to 10.10.0.21:53
INFO[6698] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[6698] outbound/direct[direct]: outbound packet connection to 10.10.2.21:53
INFO[0002] [2415221069 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:41806
INFO[0002] [2415221069 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[0002] [2415221069 1ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
INFO[0002] [3959680108 0ms] inbound/mixed[mixed-in]: inbound connection from 127.0.0.1:41808
INFO[0002] [3959680108 0ms] inbound/mixed[mixed-in]: inbound connection to detectportal.firefox.com:80
INFO[0002] [3959680108 2ms] outbound/shadowsocks[proxy]: outbound connection to detectportal.firefox.com:80
